label,molecule
723.0,C[Si](C)(C)C(S1)=CC=C1C(C2=C/3C=CC=C2)=NC3=N/C4=C5C(C=CC=C5)=C(C6=CC=C([Si](C)(C)C)S6)N4
793.0,F[B-]1(F)[N+]2=C(C3=CC=C([Si](C)(C)C)S3)C4=C(C=CC=C4)C2=NC5=C6C(C=CC=C6)=C(C7=CC=C([Si](C)(C)C)S7)N15
708.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
666.0,CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
709.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
631.0,CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5
602.0,CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5
726.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
698.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
662.0,CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
677.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
664.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
714.0,CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
697.0,CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6
703.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
696.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
695.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
716.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
698.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
724.0,CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6
695.0,CC(C=C1/C=C/C2=CC=CN2CC#C)=C(N1[B-]3(F)F)C(C4=CC=C(C(OC)=O)C=C4)=C5[N+]3=C(/C=C/C6=CC=CN6CC#C)C=C5C
697.0,CC(C=C1/C=C/C2=CC=CN2CC3=CN(CCOCCOCCOCCOC)N=N3)=C(N1[B-]4(F)F)C(C5=CC=C(C(OC)=O)C=C5)=C6[N+]4=C(/C=C/C7=CC=CN7CC8=CN(CCOCCOCCOCCOC)N=N8)C=C6C
670.0,CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(OC)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(OC)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6
662.0,CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6
678.0,CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6
691.0,CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C=C6
553.0,F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18
626.0,F[B-]1(F)[N+]2=C(C3=CC=C(N(C)C)C=C3)C=CC2=C(C4=CC=CC=C4)C5=CC6=C(C=CC=C6)N15
674.0,F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18
698.0,F[B-]([N+]1=C(C(C=CC(C(C)(C)C)=C2)=C2C3=C4C=CC(C(C)(C)C)=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=C(C(C)(C)C)C=C8)C9=C7C=CC(C(C)(C)C)=C9
682.0,F[B-]([N+]1=C(C(C=C(OC)C=C2)=C2C3=C4C=C(OC)C=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=CC(OC)=C8)C9=C7C=C(OC)C=C9
740.0,F[B-]([N+]1=C(C(C=C(OC)C(OC)=C2OC)=C2C3=C4C=C(OC)C(OC)=C3OC)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C(OC)=C(OC)C(OC)=C8)C9=C7C=C(OC)C(OC)=C9OC
730.0,F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9
723.0,F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)O6
690.0,F[B-]([N+]1=C(C=C(C2=C(OC)C=C(OC)C=C2)O3)C3=CC1=C4)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7OC)O6
694.0,F[B-]([N+]1=C(C(C=CC2=C3C=CC=C2)=C3O4)C4=CC1=C5C(F)(F)F)(F)N6C5=CC7=C6C8=C(C(C=CC=C9)=C9C=C8)O7
677.0,F[B-]([N+]1=C(C(C2=CC=C(OC)C=C2)=C(C3=CC=C(OC)C=C3)S4)C4=C(C5=CC=C(OC)C=C5)C1=C6)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7C(C%10=CC=C(OC)C=C%10)=C(C%11=CC=C(OC)C=C%11)S9
698.0,FC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(F)C=C7)S6
688.0,F[B-]([N+]1=C(C=C(C2=CC=CC=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=CC=C7)S6
709.0,CC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(C)C=C7)S6
731.0,F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6
738.0,OC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(O)C=C7)S6
628.0,F[B-]([N+]1=C(SC(C2=CC=C(C(C)(C)C)C=C2)=C3C4=CC=C(C(C)(C)C)C=C4)C3=C(C5=CC=C(C(C)(C)C)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(C(C)(C)C)C=C8)C9=C7SC(C%10=CC=C(C(C)(C)C)C=C%10)=C9C%11=CC=C(C(C)(C)C)C=C%11
622.0,F[B-]([N+]1=C(SC(C2=CC=C(OC)C=C2)=C3C4=CC=C(OC)C=C4)C3=C(C5=CC=C(OC)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7SC(C%10=CC=C(OC)C=C%10)=C9C%11=CC=C(OC)C=C%11
699.0,F[B-]([N+]1=C(C(SC=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=CS7)S6
726.0,F[B-]([N+]1=C(C(SC(I)=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=C(I)S7)S6
606.0,F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O
704.0,BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC9=CC=C(C(O)=O)C=C9
705.0,BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(NCCNC(CN9CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC9)=O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC%10=CC=C(C(NCCNC(CN%11CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC%11)=O)=O)C=C%10
677.0,CCC1=C(C)C2=C(C3=C(F)C(F)=C(F)C(F)=C3F)C4=C(C)C(CC)=C(/C=C/C5=CC=C(O)C=C5)N4[B-](F)(F)[N+]2=C1/C=C/C6=CC=C(O)C=C6
754.0,CCC1=C(C)C2=C(C3=C(F)C(F)=C(F)C(F)=C3F)C4=C(C)C(CC)=C(/C=C/C5=CC=C(N(C)C)C=C5)N4[B-](F)(F)[N+]2=C1/C=C/C6=CC=C(N(C)C)C=C6
722.0,F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)O6
730.0,F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6
738.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6
732.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6
717.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)S6
746.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=C(Br)C1=C4C(F)(F)F)(F)N5C4=C(Br)C6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6
741.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=C(Br)C1=C4C(F)(F)F)(F)N5C4=C(Br)C6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6
766.0,F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)S3)C3=C(Br)C1=C4C(F)(F)F)(F)N5C4=C(Br)C6=C5C(Br)=C(C7=CC=C(OC)C=C7)S6
686.0,F[B-]([N+]1=C(/C=C/C2=CC=CC=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=CC=C7
704.0,F[B-]([N+]1=C(/C=C/C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=CC=C7
731.0,F[B-]([N+]1=C(/C=C/C2=CC=CC=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C(CC7)=C5C8=C7C=C(OC)C=C8
746.0,F[B-]([N+]1=C(/C=C/C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C(CC7)=C5C8=C7C=C(OC)C=C8
708.0,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C7=C5C8=C(C=C(OC)C=C8)CC7
746.0,F[B-]([N+]1=C(C(C=C(C=C2)C3=C4C=CC5=C3C2=CC=C5)=C4CC6)C6=C(C7=CC=CC=C7)C1=N8)(F)N9C8=C(C%10=CC=CC=C%10)C%11=C9C%12=C(C(C=CC%13=C%14C(C=C%15)=CC=C%13)=C%14C%15=C%12)CC%11
761.0,F[B-]([N+]1=C(C2=CC=CC=C2)C(C=C(C=CC=C3)C3=C4)=C4C1=C5)(F)N6C5=C(C=C(C=CC=C7)C7=C8)C8=C6C9=CC=CC=C9
