molecule,solvent,label
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16,ClCCl,949.0
F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C/8(C)C)N16,[H]C(N(C)C)=O,888.0
F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(CC)C(C=CC=C9)=C9S/8)N16,[H]C(N(C)C)=O,922.0
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16,[H]C(N(C)C)=O,972.0
CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,CO,590.0
CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,[H]C(N(C)C)=O,606.0
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,ClCCl,606.0
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,CO,594.0
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,[H]C(N(C)C)=O,608.0
F[B-]([N+]1=C(C2=CC(C=CC=C3)=C3OC2CC4)C4=C(C5=CC=CC=C5)C1=C6)(F)N7C6=C(C8=CC=CC=C8)C9=C7C%10=CC%11=C(C=CC=C%11)OC%10CC9,ClC(Cl)Cl,732.0
CC(C(C=CC=C1)=C1N/2C)(C)C2=C\C=C\C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6,ClCCl,562.0
CN1C2=C(C=CC=C2)S/C1=C/C=C/C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6,ClCCl,558.0
F[B-]([N+]1=C(C2=CC=CC=C2)C=CC1=C3/C=C/C=C4CC=C(C=CC=C5)C5N/4C)(F)N6C3=CC=C6C7=CC=CC=C7,ClCCl,679.0
F[B-]([N+]1=C(C2=CC=C(CC)S2)C(C=C(OC)C=C3)=C3C1=C4)(F)N5C4=C(C=CC(OC)=C6)C6=C5C7=CC=C(CC)S7,ClCCl,727.0
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6C(C)(C)C(C=CC=C7)=C7N\6C,ClCCl,730.0
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6SC(C=CC=C7)=C7N\6CC,ClCCl,745.0
F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3)(F)N4C3=C(C=CC=C5)C5=C4C6=C(C)C=C(C)N6,ClCCl,680.0
F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3/C=C/C4=CC=C(OCC(OCC)=O)C=C4)(F)N5C3=C(C=CC=C6)C6=C5C7=C(C)C=C(C)N7,ClCCl,676.0
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6,ClC(Cl)Cl,731.0
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CCCCCC,723.0
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CS(C)=O,729.0
F[B-]([N+]1=CC(C=C(C(CC2=C(CC)C(CC)=C(C)N2[B-]3(F)F)[N+]3=C4C)C4=C5)=C5C1=C6)(F)N7C6=C(CC)C(CC)=C7C,ClCCl,758.0
CC1=C2C(C=C(C3=CC4=C(CC)C(CC)=C(C)N4[B-](F)(F)[N+]3=C5)C5=C2)=C6N1[B-](F)(F)[N+]7=C(C)C(CC)=C(CC)C7=C6,ClCCl,692.0
F[B-]([N+]1=CC(C=C(C(CC2=C(C=CC=C3)C3=C(C)N2[B-]4(F)F)[N+]4=C5C)C5=C6)=C6C1=C7)(F)N8C7=C(C=CC=C9)C9=C8C,ClCCl,848.0
CC1=C2C(C=C(C3=CC4=C(C=CC=C5)C5=C(C)N4[B-](F)(F)[N+]3=C6)C6=C2)=C7N1[B-](F)(F)[N+]8=C(C)C(C=CC=C9)=C9C8=C7,ClCCl,775.0
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=C(OC)C=C7,ClC(Cl)Cl,688.0
F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=CS7,CC#N,710.0
F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CS3)C1=N4)(F)N5C4=C(C6=CC=CS6)C=C5C7=CC=CS7,CC#N,733.0
F[B-]([N+]1=C(C2=CC=C(C#CC3=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C3)C=C2)C=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C=C6C8=CC=C(C#CC9=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C9)C=C8,CC1=CC=CC=C1,740.0
F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,740.0
F[B-]([N+]1=C(C2=CC=CC=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,723.0
F[B-]([N+]1=C(C2=CC=CC=C2SC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=CC=C9)SC8,ClC(Cl)Cl,706.0
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C7=C5C8=C(C=C(OC)C=C8)CC7,ClC(Cl)Cl,708.0
F[B-]([N+]1=C(C=CC2=C3C=CC=C2)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,715.0
F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(CCC4=CC=CC=C4)C1=N5)(F)N6C5=C(CCC7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,721.0
C12=C(C3=CC=CC=C3)C=C(C(C=CC=C4)=C4O5)N1[B-]5(OC6=C7C=CC=C6)[N+]8=C7C=C(C9=CC=CC=C9)C8=N2,CC1=CC=CC=C1,728.0
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(F)F)=CC=C1,ClCCl,762.0
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(C#N)F)=CC=C1,ClCCl,774.0
CN1C2=C(C=CC=C2)C=C1C(C3=C/4C=CC=C3)=NC4=N/C5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5,ClCCl,689.0
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(F)F)=CC9=C1C=CC=C9,ClCCl,777.0
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(C#N)F)=CC9=C1C=CC=C9,ClCCl,793.0
C[Si](C)(C)C(S1)=CC=C1C(C2=C/3C=CC=C2)=NC3=N/C4=C5C(C=CC=C5)=C(C6=CC=C([Si](C)(C)C)S6)N4,ClCCl,723.0
F[B-]1(F)[N+]2=C(C3=CC=C([Si](C)(C)C)S3)C4=C(C=CC=C4)C2=NC5=C6C(C=CC=C6)=C(C7=CC=C([Si](C)(C)C)S7)N15,ClCCl,793.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,708.0
CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,666.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,709.0
CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5,CCO,631.0
CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5,O,602.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,726.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,698.0
CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,662.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,677.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,664.0
CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,714.0
CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,697.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,ClCCl,703.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CC#N,696.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,C1CCCO1,695.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CS(C)=O,716.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CCO,698.0
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,O,724.0
CC(C=C1/C=C/C2=CC=CN2CC#C)=C(N1[B-]3(F)F)C(C4=CC=C(C(OC)=O)C=C4)=C5[N+]3=C(/C=C/C6=CC=CN6CC#C)C=C5C,[H]C(N(C)C)=O,695.0
CC(C=C1/C=C/C2=CC=CN2CC3=CN(CCOCCOCCOCCOC)N=N3)=C(N1[B-]4(F)F)C(C5=CC=C(C(OC)=O)C=C5)=C6[N+]4=C(/C=C/C7=CC=CN7CC8=CN(CCOCCOCCOCCOC)N=N8)C=C6C,CC1=CC=CC=C1,697.0
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(OC)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(OC)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CS(C)=O,670.0
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CC(C)=O,662.0
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CS(C)=O,678.0
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C=C6,ClCCl,691.0
F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18,ClCCl,553.0
F[B-]1(F)[N+]2=C(C3=CC=C(N(C)C)C=C3)C=CC2=C(C4=CC=CC=C4)C5=CC6=C(C=CC=C6)N15,ClCCl,626.0
F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18,C1CCCO1,674.0
F[B-]([N+]1=C(C(C=CC(C(C)(C)C)=C2)=C2C3=C4C=CC(C(C)(C)C)=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=C(C(C)(C)C)C=C8)C9=C7C=CC(C(C)(C)C)=C9,CC1=CC=CC=C1,698.0
F[B-]([N+]1=C(C(C=C(OC)C=C2)=C2C3=C4C=C(OC)C=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=CC(OC)=C8)C9=C7C=C(OC)C=C9,CC1=CC=CC=C1,682.0
F[B-]([N+]1=C(C(C=C(OC)C(OC)=C2OC)=C2C3=C4C=C(OC)C(OC)=C3OC)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C(OC)=C(OC)C(OC)=C8)C9=C7C=C(OC)C(OC)=C9OC,CC1=CC=CC=C1,740.0
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CC1=CC=CC=C1,730.0
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)O6,ClC(Cl)Cl,723.0
F[B-]([N+]1=C(C=C(C2=C(OC)C=C(OC)C=C2)O3)C3=CC1=C4)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7OC)O6,ClC(Cl)Cl,690.0
F[B-]([N+]1=C(C(C=CC2=C3C=CC=C2)=C3O4)C4=CC1=C5C(F)(F)F)(F)N6C5=CC7=C6C8=C(C(C=CC=C9)=C9C=C8)O7,ClCCl,694.0
F[B-]([N+]1=C(C(C2=CC=C(OC)C=C2)=C(C3=CC=C(OC)C=C3)S4)C4=C(C5=CC=C(OC)C=C5)C1=C6)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7C(C%10=CC=C(OC)C=C%10)=C(C%11=CC=C(OC)C=C%11)S9,ClC(Cl)Cl,677.0
FC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(F)C=C7)S6,ClCCl,698.0
F[B-]([N+]1=C(C=C(C2=CC=CC=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=CC=C7)S6,ClCCl,688.0
CC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(C)C=C7)S6,ClCCl,709.0
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6,ClCCl,731.0
OC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(O)C=C7)S6,ClCCl,738.0
F[B-]([N+]1=C(SC(C2=CC=C(C(C)(C)C)C=C2)=C3C4=CC=C(C(C)(C)C)C=C4)C3=C(C5=CC=C(C(C)(C)C)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(C(C)(C)C)C=C8)C9=C7SC(C%10=CC=C(C(C)(C)C)C=C%10)=C9C%11=CC=C(C(C)(C)C)C=C%11,ClC(Cl)Cl,628.0
F[B-]([N+]1=C(SC(C2=CC=C(OC)C=C2)=C3C4=CC=C(OC)C=C4)C3=C(C5=CC=C(OC)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7SC(C%10=CC=C(OC)C=C%10)=C9C%11=CC=C(OC)C=C%11,ClC(Cl)Cl,622.0
F[B-]([N+]1=C(C(SC=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=CS7)S6,CC1=CC=CC=C1,699.0
F[B-]([N+]1=C(C(SC(I)=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=C(I)S7)S6,CC1=CC=CC=C1,726.0
F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,ClCCl,606.0
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC9=CC=C(C(O)=O)C=C9,CS(C)=O,704.0
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(NCCNC(CN9CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC9)=O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC%10=CC=C(C(NCCNC(CN%11CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC%11)=O)=O)C=C%10,O,705.0
CCC1=C(C)C2=C(C3=C(F)C(F)=C(F)C(F)=C3F)C4=C(C)C(CC)=C(/C=C/C5=CC=C(O)C=C5)N4[B-](F)(F)[N+]2=C1/C=C/C6=CC=C(O)C=C6,ClCCl,677.0
CCC1=C(C)C2=C(C3=C(F)C(F)=C(F)C(F)=C3F)C4=C(C)C(CC)=C(/C=C/C5=CC=C(N(C)C)C=C5)N4[B-](F)(F)[N+]2=C1/C=C/C6=CC=C(N(C)C)C=C6,ClCCl,754.0
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)O6,C1CCCO1,722.0
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6,C1CCCO1,730.0
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6,ClC(Cl)Cl,738.0
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6,C1CCCO1,732.0
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)S6,C1CCCO1,717.0
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=C(Br)C1=C4C(F)(F)F)(F)N5C4=C(Br)C6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6,ClC(Cl)Cl,746.0
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)O3)C3=C(Br)C1=C4C(F)(F)F)(F)N5C4=C(Br)C6=C5C(Br)=C(C7=CC=C(OC)C=C7)O6,C1CCCO1,741.0
